index,date of death,name,age,bio,cause of death,Unnamed: 5,Unnamed: 6
280,2016-01-13,Lawrence Phillips,40,"American football player (University of Nebraska, St Louis Rams) and convicted felon", suicide,,
281,2016-01-13,J. F. R. Jacob,92,Indian military officer.,,,
282,2016-01-13,William Craig,97,American philosopher.,,,
283,2016-01-13,Vladimir Pribylovsky,59,Russian human rights activist and journalist.,,,
284,2016-01-13,Addepalli Ramamohana Rao,80,Indian Telugu poet.,,,
285,2016-01-13,Giorgio Gomelsky,81,"Georgian-born Swiss filmmaker (La Collectionneuse), impresario, band manager (The Rolling Stones, The Yardbirds), songwriter and record producer.,",,,
286,2016-01-13,Mike Salmon,82,British racing driver.,,,
287,2016-01-13,Jim Simpson,88,American sportscaster (NBC Sports).,,,
288,2016-01-13,Zaharije Trnavčević,90,"Serbian politician, Acting President of the National Assembly (2012)",,,
289,2016-01-13,Lois Weisberg,90,American civil servant and socialite.,,,
290,2016-01-13,Conrad Phillips,90,British television and film actor (The Adventures of William Tell).,,,
291,2016-01-13,G. A. Vadivelu,90,Indian independence activist and politician.,,,
292,2016-01-13,Sir Albert McQuarrie,98,"Scottish politician, MP for East Aberdeenshire (1979–1983) and Banff and Buchan (1983–1987)",,,
293,2016-01-14,Ellen Meiksins Wood,73,American historian, cancer,,
294,2016-01-14,Robert Banks Stewart,84,"Scottish television writer (Doctor Who, Bergerac, Shoestring)", cancer,,
295,2016-01-14,Shaolin,44,Brazilian humorist, heart attack,,
296,2016-01-14,Rajesh Vivek,66,Indian actor (Lagaan), heart attack,,
297,2016-01-14,Alan Rickman,69,"English actor (Harry Potter, Die Hard, Love Actually)", pancreatic cancer,,
298,2016-01-14,René Angélil,73,Canadian entertainment manager (Celine Dion), throat cancer,,
299,2016-01-14,P. M. K. Raghunath,65,Indian cricketer.,,,
300,2016-01-14,Sergio Vacchi,90,Italian painter.,,,
301,2016-01-14,Glyn W. Humphreys,61,British neuropsychologist.,,,
302,2016-01-14,James Hannah,71,"American attorney, Chief Justice of the Arkansas Supreme Court (2005–2015)",,,
303,2016-01-14,Anna Lærkesen,73,Danish ballerina.,,,
304,2016-01-14,Leonid Zhabotinsky,77,"Ukrainian Soviet weightlifter, Olympic champion (1964, 1968).",,,
305,2016-01-14,Franco Citti,80,"Italian actor (The Godfather, Accattone, The Decameron).",,,
306,2016-01-14,Franco Oppo,80,Italian composer.,,,
307,2016-01-14,Al Hart,88,"American radio host (KCBS, KNBR, WOBT).",,,
308,2016-01-14,George Carroll,94,"American lawyer and politician, Mayor of Richmond, California (1964–1965)., Mayor of Richmond, California (1964–1965).",,,
309,2016-01-15,Francisco X. Alarcón,61,American poet, cancer,,
310,2016-01-15,Ken Judge,58,"Australian football player (East Fremantle, Hawthorn, Brisbane Bears) and coach (Hawthorn, West Coast Eagles)", cancer,,
